frequency_Hz,LT_I_HOT_abs_A,LT_I_RTN_abs_A,LT_I_NM_abs_A,PY_I_HOT_abs_A,PY_I_RTN_abs_A,PY_I_NM_abs_A,LT_I_HOT_dBuA,LT_I_RTN_dBuA,LT_I_NM_dBuA,PY_I_HOT_dBuA,PY_I_RTN_dBuA,PY_I_NM_dBuA,error_NM_PY_minus_LT_dB,LT_I_NM_phase_deg,PY_I_NM_phase_deg
128.82495516931357,0.987823866005619,0.9878238660056311,0.9878238660056249,0.9878238660056199,0.9878238660056199,0.9878238660056199,119.893590291731,119.8935902917311,119.89359029173104,119.893590291731,119.893590291731,119.893590291731,-4.263256414560601e-14,-0.34999564597340727,-0.34999564597373145
130.31667784523015,0.987828309731334,0.9878283097313247,0.9878283097313294,0.9878283097313322,0.9878283097313322,0.9878283097313322,119.89362936511812,119.89362936511803,119.89362936511809,119.8936293651181,119.8936293651181,119.8936293651181,1.4210854715202004e-14,-0.35405059498963143,-0.3540505949893645
131.82567385564093,0.9878328569921399,0.9878328569921841,0.9878328569921622,0.9878328569921393,0.9878328569921393,0.9878328569921393,119.8936693487005,119.8936693487009,119.8936693487007,119.8936693487005,119.8936693487005,119.8936693487005,-1.9895196601282805e-13,-0.35815257509195403,-0.3581525750932423
133.35214321633262,0.987837510200975,0.9878375102010384,0.9878375102010069,0.9878375102009753,0.9878375102009753,0.9878375102009753,119.89371026368215,119.89371026368272,119.89371026368244,119.89371026368215,119.89371026368215,119.89371026368215,-2.8421709430404007e-13,-0.36230213358450697,-0.3623021335862638
134.8962882591656,0.9878422718270404,0.9878422718270656,0.9878422718270529,0.9878422718270414,0.9878422718270414,0.9878422718270414,119.89375213176105,119.89375213176129,119.89375213176116,119.89375213176106,119.89375213176106,119.89375213176106,-9.947598300641403e-14,-0.36649982420120475,-0.3664998242018758
136.4583136588927,0.9878471443971156,0.9878471443971322,0.987847144397124,0.9878471443971156,0.9878471443971156,0.9878471443971156,119.89379497514076,119.89379497514092,119.89379497514085,119.89379497514076,119.89379497514076,119.89379497514076,-8.526512829121202e-14,-0.37074620718349777,-0.3707462071839778
138.03842646028875,0.9878521304969013,0.9878521304969227,0.9878521304969119,0.9878521304969012,0.9878521304969012,0.9878521304969012,119.89383881654214,119.89383881654234,119.89383881654226,119.89383881654214,119.89383881654214,119.89383881654214,-1.1368683772161603e-13,-0.37504184936525087,-0.3750418493658219
139.63683610559403,0.9878572327723977,0.9878572327724059,0.9878572327724018,0.9878572327723982,0.9878572327723982,0.9878572327723982,119.89388367921548,119.89388367921555,119.8938836792155,119.89388367921548,119.89388367921548,119.89388367921548,-2.842170943040401e-14,-0.37938732424958543,-0.3793873242497571
141.2537544622757,0.9878624539313144,0.9878624539313652,0.98786245393134,0.987862453931314,0.987862453931314,0.987862453931314,119.89392958695274,119.89392958695318,119.89392958695294,119.89392958695271,119.89392958695271,119.89392958695271,-2.2737367544323206e-13,-0.3837832120867522,-0.38378321208834176
142.88939585111058,0.9878677967445041,0.9878677967445012,0.9878677967445026,0.9878677967445035,0.9878677967445035,0.9878677967445035,119.89397656410023,119.89397656410021,119.89397656410023,119.89397656410023,119.89397656410023,119.89397656410023,0.0,-0.3882300999662443,-0.3882300999662118
144.54397707459304,0.9878732640474431,0.987873264047419,0.987873264047431,0.987873264047443,0.987873264047443,0.987873264047443,119.89402463557164,119.89402463557143,119.89402463557154,119.89402463557164,119.89402463557164,119.89402463557164,9.947598300641403e-14,-0.3927285818840224,-0.39272858188320725
146.21771744567212,0.9878788587417391,0.9878788587417182,0.9878788587417288,0.9878788587417408,0.9878788587417408,0.9878788587417408,119.89407382686103,119.89407382686083,119.89407382686093,119.89407382686103,119.89407382686103,119.89407382686103,9.947598300641403e-14,-0.39727925883930254,-0.39727925883866066
147.91083881682107,0.987884583796679,0.9878845837966774,0.9878845837966782,0.9878845837966788,0.9878845837966788,0.9878845837966788,119.89412416405656,119.89412416405656,119.89412416405656,119.89412416405656,119.89412416405656,119.89412416405656,0.0,-0.4018827389165691,-0.4018827389165354
149.6235656094437,0.9878904422507959,0.9878904422508255,0.9878904422508108,0.9878904422507948,0.9878904422507948,0.9878904422507948,119.89417567385424,119.89417567385448,119.89417567385436,119.89417567385422,119.89417567385422,119.89417567385422,-1.4210854715202004e-13,-0.4065396373710411,-0.4065396373720378
151.3561248436212,0.9878964372135008,0.9878964372135474,0.9878964372135242,0.9878964372135014,0.9878964372135014,0.9878964372135014,119.89422838357206,119.89422838357245,119.89422838357225,119.89422838357206,119.89422838357206,119.89422838357206,-1.9895196601282805e-13,-0.41125057671770354,-0.4112505767191787
