frequency_Hz,I_HOT_abs_A,I_RTN_abs_A,I_NM_abs_A,I_HOT_dBuA,I_RTN_dBuA,I_NM_dBuA,I_HOT_real_A,I_HOT_imag_A,I_RTN_real_A,I_RTN_imag_A,I_NM_real_A,I_NM_imag_A,I_HOT_phase_deg,I_RTN_phase_deg,I_NM_phase_deg
1.737800828749376194e+02,9.879802605557893580e-01,9.879802605557893580e-01,9.879802605557893580e-01,1.198949653529400905e+02,1.198949653529400905e+02,1.198949653529400905e+02,9.879467034156395044e-01,-8.142877750290353905e-03,-9.879467034156395044e-01,8.142877750290353905e-03,9.879467034156395044e-01,-8.142877750290353905e-03,-4.722339393760904280e-01,1.795277660606239181e+02,-4.722339393760904280e-01
1.757923613958693068e+02,9.879883485237022089e-01,9.879883485237022089e-01,9.879883485237022089e-01,1.198950364585197690e+02,1.198950364585197690e+02,1.198950364585197690e+02,9.879540086875630012e-01,-8.237325826196495102e-03,-9.879540086875630012e-01,8.237325826196495102e-03,9.879540086875630012e-01,-8.237325826196495102e-03,-4.777075288041970902e-01,1.795222924711958115e+02,-4.777075288041970902e-01
1.778279410038922776e+02,9.879966249754187357e-01,9.879966249754187357e-01,9.879966249754187357e-01,1.198951092205571172e+02,1.198951092205571172e+02,1.198951092205571172e+02,9.879614841624493327e-01,-8.332873114880750068e-03,-9.879614841624493327e-01,8.332873114880750068e-03,9.879614841624493327e-01,-8.332873114880750068e-03,-4.832446884756028682e-01,1.795167553115244061e+02,-4.832446884756028682e-01
1.798870915128787260e+02,9.880050943055732615e-01,9.880050943055732615e-01,9.880050943055732615e-01,1.198951836776451927e+02,1.198951836776451927e+02,1.198951836776451927e+02,9.879691338067807527e-01,-8.429532540059112011e-03,-9.879691338067807527e-01,8.429532540059112011e-03,9.879691338067807527e-01,-8.429532540059112011e-03,-4.888461611471028867e-01,1.795111538388529198e+02,-4.888461611471028867e-01
1.819700858609982674e+02,9.880137610113640667e-01,9.880137610113640667e-01,9.880137610113640667e-01,1.198952598692764724e+02,1.198952598692764724e+02,1.198952598692764724e+02,9.879769616795215370e-01,-8.527317181975734364e-03,-9.879769616795215370e-01,8.527317181975734364e-03,9.879769616795215370e-01,-8.527317181975734364e-03,-4.945126984100163825e-01,1.795054873015899943e+02,-4.945126984100163825e-01
1.840772001468956205e+02,9.880226296949563558e-01,9.880226296949563558e-01,9.880226296949563558e-01,1.198953378358638133e+02,1.198953378358638133e+02,1.198953378358638133e+02,9.879849719342788106e-01,-8.626240279459853125e-03,-9.879849719342788106e-01,8.626240279459853125e-03,9.879849719342788106e-01,-8.626240279459853125e-03,-5.002450608008309763e-01,1.794997549391991640e+02,-5.002450608008309763e-01
1.862087136662867408e+02,9.880317050659322975e-01,9.880317050659322975e-01,9.880317050659322975e-01,1.198954176187618259e+02,1.198954176187618259e+02,1.198954176187618259e+02,9.879931688215080055e-01,-8.726315232011307849e-03,-9.879931688215080055e-01,8.726315232011307849e-03,9.879931688215080055e-01,-8.726315232011307849e-03,-5.060440179132011940e-01,1.794939559820868169e+02,-5.060440179132011940e-01
1.883649089489800019e+02,9.880409919438084554e-01,9.880409919438084554e-01,9.880409919438084554e-01,1.198954992602889149e+02,1.198954992602889149e+02,1.198954992602889149e+02,9.880015566907776048e-01,-8.827555601922096318e-03,-9.880015566907776048e-01,8.827555601922096318e-03,9.880015566907776048e-01,-8.827555601922096318e-03,-5.119103485117153518e-01,1.794880896514882807e+02,-5.119103485117153518e-01
1.905460717963248385e+02,9.880504952606026237e-01,9.880504952606026237e-01,9.880504952606026237e-01,1.198955828037497326e+02,1.198955828037497326e+02,1.198955828037497326e+02,9.880101399930781847e-01,-8.929975116429718016e-03,-9.880101399930781847e-01,8.929975116429718016e-03,9.880101399930781847e-01,-8.929975116429718016e-03,-5.178448406471825027e-01,1.794821551593528284e+02,-5.178448406471825027e-01
1.927524913190936502e+02,9.880602200634706067e-01,9.880602200634706067e-01,9.880602200634706067e-01,1.198956682934581863e+02,1.198956682934581863e+02,1.198956682934581863e+02,9.880189232831950719e-01,-9.033587669906225151e-03,-9.880189232831950719e-01,9.033587669906225151e-03,9.880189232831950719e-01,-9.033587669906225151e-03,-5.238482917736444477e-01,1.794761517082263538e+02,-5.238482917736444477e-01
1.949844599758045547e+02,9.880701715173959565e-01,9.880701715173959565e-01,9.880701715173959565e-01,1.198957557747609570e+02,1.198957557747609570e+02,1.198957557747609570e+02,9.880279112221267424e-01,-9.138407326081751311e-03,-9.880279112221267424e-01,9.138407326081751311e-03,9.880279112221267424e-01,-9.138407326081751311e-03,-5.299215088670394813e-01,1.794700784911329663e+02,-5.299215088670394813e-01
