harmonic_n,frequency_Hz,dm_source_rms_A,cm_source_total_rms_A,dm_transfer_abs,cm_transfer_abs,dm_at_LDM1_rms_A,cm_at_LDM1_rms_A,dm_at_LDM1_dBuA,cm_at_LDM1_dBuA,ce03_limit_dBuA,dm_margin_dB,cm_margin_dB
5.400000000000000000e+01,6.750000000000000000e+06,4.705312054513105097e-17,9.410624109026209731e-19,1.567204867956609071e-10,2.215053509223534247e-03,7.374187957087851447e-27,2.084503595668210058e-21,-4.026457159413629370e+02,-2.936199470279998422e+02,2.000000000000000000e+01,4.226457159413629370e+02,3.136199470279998422e+02
5.500000000000000000e+01,6.875000000000000000e+06,6.684049697012344610e-03,1.336809939402468738e-04,1.416912030520778507e-10,1.862236322862727842e-03,9.470710428295554995e-13,2.489456025919199611e-07,-1.204723488391189932e+02,-1.207791081511977715e+01,2.000000000000000000e+01,1.404723488391189790e+02,3.207791081511977893e+01
5.600000000000000000e+01,7.000000000000000000e+06,2.233618243911698789e-17,4.467236487823397771e-19,1.273558455539223881e-10,1.575181651422589632e-03,2.844643400980416618e-27,7.036708948184908981e-22,-4.109194433635369705e+02,-3.030526082371225129e+02,2.000000000000000000e+01,4.309194433635369705e+02,3.230526082371225129e+02
5.700000000000000000e+01,7.125000000000000000e+06,6.349017890088230753e-03,1.269803578017645966e-04,1.137119453825657527e-10,1.336891089039860545e-03,7.219591755506457264e-13,1.697589088282722151e-07,-1.228297471936031826e+02,-1.540334849960200536e+01,2.000000000000000000e+01,1.428297471936031684e+02,3.540334849960200359e+01
5.800000000000000000e+01,7.250000000000000000e+06,7.661973221727677802e-21,1.532394644345535410e-22,1.007541440809265712e-10,1.135724755437048268e-03,7.719755539261515616e-31,1.740378532682375731e-25,-4.822479290441421540e+02,-3.751871256461187158e+02,2.000000000000000000e+01,5.022479290441421540e+02,3.951871256461187158e+02
5.900000000000000000e+01,7.375000000000000000e+06,6.034145676100169213e-03,1.206829135220033848e-04,8.847470979378717954e-11,9.634385162532970023e-04,5.338692875463981668e-13,1.162705671407638927e-07,-1.254513012506739642e+02,-1.869060418283567770e+01,2.000000000000000000e+01,1.454513012506739642e+02,3.869060418283567770e+01
6.000000000000000000e+01,7.500000000000000000e+06,6.342220967265858011e-17,1.268444193453171779e-18,7.686397635373522101e-11,8.140240696196622463e-04,4.874883224580866141e-27,1.032544104440181079e-21,-4.062407156630117697e+02,-2.997218277734619960e+02,2.000000000000000000e+01,4.262407156630117697e+02,3.197218277734619960e+02
6.100000000000000000e+01,7.625000000000000000e+06,5.737536978973804477e-03,1.147507395794760820e-04,6.591071644638142092e-11,6.829929733413633419e-04,3.781651729217702898e-13,7.837394881850683058e-08,-1.284463693989973763e+02,-2.211656542093005839e+01,2.000000000000000000e+01,1.484463693989973763e+02,4.211656542093005839e+01
6.200000000000000000e+01,7.750000000000000000e+06,4.112240816286965693e-17,8.224481632573931502e-19,5.560245838865365202e-11,5.669179975879226488e-04,2.286506988717191229e-27,4.662606658337462096e-22,-4.128165493371711250e+02,-3.066274244094126971e+02,2.000000000000000000e+01,4.328165493371711250e+02,3.266274244094126971e+02
6.300000000000000000e+01,7.875000000000000000e+06,5.457538400113290215e-03,1.091507680022657973e-04,4.592575468262371269e-11,4.631296843453617954e-04,2.506415697346016833e-13,5.055096073094317189e-08,-1.320189379637925242e+02,-2.592541172285136497e+01,2.000000000000000000e+01,1.520189379637925242e+02,4.592541172285136497e+01
6.400000000000000000e+01,8.000000000000000000e+06,2.086135159624828462e-17,4.172270319249657212e-19,3.686640933326820522e-11,3.695097294850271420e-04,7.690831271925173581e-28,1.541694477004348610e-22,-4.222805343293317719e+02,-3.162400336683439832e+02,2.000000000000000000e+01,4.422805343293317719e+02,3.362400336683439832e+02
