frequency_Hz,I_HOT_abs_A,I_RTN_abs_A,I_NM_abs_A,I_HOT_dBuA,I_RTN_dBuA,I_NM_dBuA,I_NM_phase_deg
3.630780547701014029e+02,9.891496458064596986e-01,9.891496458064596986e-01,9.891496458064596986e-01,1.199052399963850348e+02,1.199052399963850348e+02,1.199052399963850348e+02,-9.882426535514329258e-01
3.672823004980846235e+02,9.891850070778156478e-01,9.891850070778156478e-01,9.891850070778156478e-01,1.199055505041143874e+02,1.199055505041143874e+02,1.199055505041143874e+02,-9.997350971553529142e-01
3.715352290971727598e+02,9.892211937518544662e-01,9.892211937518544662e-01,9.892211937518544662e-01,1.199058682482227312e+02,1.199058682482227312e+02,1.199058682482227312e+02,-1.011362346251373001e+00
3.758374042884443043e+02,9.892582251364081536e-01,9.892582251364081536e-01,9.892582251364081536e-01,1.199061933974422232e+02,1.199061933974422232e+02,1.199061933974422232e+02,-1.023126022739564878e+00
3.801893963205612863e+02,9.892961209929045374e-01,9.892961209929045374e-01,9.892961209929045374e-01,1.199065261244435874e+02,1.199065261244435874e+02,1.199065261244435874e+02,-1.035027769451049240e+00
3.845917820453535114e+02,9.893349015471115671e-01,9.893349015471115671e-01,9.893349015471115671e-01,1.199068666059281583e+02,1.199068666059281583e+02,1.199068666059281583e+02,-1.047069250466464707e+00
3.890451449942804629e+02,9.893745875001460632e-01,9.893745875001460632e-01,9.893745875001460632e-01,1.199072150227222266e+02,1.199072150227222266e+02,1.199072150227222266e+02,-1.059252151440830625e+00
3.935500754557772325e+02,9.894152000397454794e-01,9.894152000397454794e-01,9.894152000397454794e-01,1.199075715598735172e+02,1.199075715598735172e+02,1.199075715598735172e+02,-1.071578179935085862e+00
3.981071705534973262e+02,9.894567608518111124e-01,9.894567608518111124e-01,9.894567608518111124e-01,1.199079364067499682e+02,1.199079364067499682e+02,1.199079364067499682e+02,-1.084049065754168817e+00
4.027170343254590534e+02,9.894992921322309787e-01,9.894992921322309787e-01,9.894992921322309787e-01,1.199083097571408416e+02,1.199083097571408416e+02,1.199083097571408416e+02,-1.096666561292190201e+00
4.073802778041126089e+02,9.895428165989903491e-01,9.895428165989903491e-01,9.895428165989903491e-01,1.199086918093601781e+02,1.199086918093601781e+02,1.199086918093601781e+02,-1.109432441884703913e+00
4.120975190973304052e+02,9.895873575045703863e-01,9.895873575045703863e-01,9.895873575045703863e-01,1.199090827663526682e+02,1.199090827663526682e+02,1.199090827663526682e+02,-1.122348506168135973e+00
4.168693834703354923e+02,9.896329386486510948e-01,9.896329386486510948e-01,9.896329386486510948e-01,1.199094828358021516e+02,1.199094828358021516e+02,1.199094828358021516e+02,-1.135416576446952819e+00
4.216965034285822753e+02,9.896795843911211366e-01,9.896795843911211366e-01,9.896795843911211366e-01,1.199098922302424342e+02,1.199098922302424342e+02,1.199098922302424342e+02,-1.148638499068349139e+00
4.265795188015925419e+02,9.897273196654011729e-01,9.897273196654011729e-01,9.897273196654011729e-01,1.199103111671709314e+02,1.199103111671709314e+02,1.199103111671709314e+02,-1.162016144804978612e+00
