frequency_Hz,I_HOT_abs_A,I_RTN_abs_A,I_CM_abs_A,I_HOT_dBuA,I_RTN_dBuA,I_CM_dBuA,I_CM_phase_deg
3.507518739525679621e+02,4.999225976414388706e-01,4.999225976414388706e-01,9.998451952828777411e-01,1.139780553659447548e+02,1.139780553659447548e+02,1.199986552792243799e+02,-4.999442781943629955e-05
3.548133892335753217e+02,4.999233563995716390e-01,4.999233563995716390e-01,9.998467127991432779e-01,1.139780685489543544e+02,1.139780685489543544e+02,1.199986684622339794e+02,-5.057342148903196159e-05
3.589219346450053649e+02,4.999241328338412949e-01,4.999241328338412949e-01,9.998482656676825897e-01,1.139780820390564884e+02,1.139780820390564884e+02,1.199986819523361135e+02,-5.115912259349021906e-05
3.630780547701014029e+02,4.999249273560905649e-01,4.999249273560905649e-01,9.998498547121811297e-01,1.139780958434052707e+02,1.139780958434052707e+02,1.199986957566848957e+02,-5.175160890698975044e-05
3.672823004980846235e+02,4.999257403877606087e-01,4.999257403877606087e-01,9.998514807755212175e-01,1.139781099693214372e+02,1.139781099693214372e+02,1.199987098826010623e+02,-5.235095910767555524e-05
3.715352290971727598e+02,4.999265723601145073e-01,4.999265723601145073e-01,9.998531447202290146e-01,1.139781244242963396e+02,1.139781244242963396e+02,1.199987243375759647e+02,-5.295725278882776099e-05
3.758374042884443043e+02,4.999274237144671895e-01,4.999274237144671895e-01,9.998548474289343790e-01,1.139781392159958955e+02,1.139781392159958955e+02,1.199987391292755206e+02,-5.357057046935224156e-05
3.801893963205612863e+02,4.999282949024185241e-01,4.999282949024185241e-01,9.998565898048370482e-01,1.139781543522645677e+02,1.139781543522645677e+02,1.199987542655441928e+02,-5.419099360447856867e-05
3.845917820453535114e+02,4.999291863860940710e-01,4.999291863860940710e-01,9.998583727721881420e-01,1.139781698411296560e+02,1.139781698411296560e+02,1.199987697544092811e+02,-5.481860459697766906e-05
3.890451449942804629e+02,4.999300986383908851e-01,4.999300986383908851e-01,9.998601972767817703e-01,1.139781856908054891e+02,1.139781856908054891e+02,1.199987856040851142e+02,-5.545348680825610616e-05
3.935500754557772325e+02,4.999310321432274273e-01,4.999310321432274273e-01,9.998620642864548547e-01,1.139782019096977876e+02,1.139782019096977876e+02,1.199988018229774127e+02,-5.609572456959529928e-05
3.981071705534973262e+02,4.999319873958016913e-01,4.999319873958016913e-01,9.998639747916033826e-01,1.139782185064080835e+02,1.139782185064080835e+02,1.199988184196877086e+02,-5.674540319339432744e-05
4.027170343254590534e+02,4.999329649028543265e-01,4.999329649028543265e-01,9.998659298057086531e-01,1.139782354897383954e+02,1.139782354897383954e+02,1.199988354030180204e+02,-5.740260898497619310e-05
4.073802778041126089e+02,4.999339651829369791e-01,4.999339651829369791e-01,9.998679303658739581e-01,1.139782528686958187e+02,1.139782528686958187e+02,1.199988527819754438e+02,-5.806742925383348553e-05
4.120975190973304052e+02,4.999349887666887926e-01,4.999349887666887926e-01,9.998699775333775852e-01,1.139782706524973150e+02,1.139782706524973150e+02,1.199988705657769401e+02,-5.873995232597199550e-05
4.168693834703354923e+02,4.999360361971176281e-01,4.999360361971176281e-01,9.998720723942352562e-01,1.139782888505746428e+02,1.139782888505746428e+02,1.199988887638542678e+02,-5.942026755550101262e-05
4.216965034285822753e+02,4.999371080298887215e-01,4.999371080298887215e-01,9.998742160597774431e-01,1.139783074725792602e+02,1.139783074725792602e+02,1.199989073858588853e+02,-6.010846533671503067e-05
4.265795188015925419e+02,4.999382048336207807e-01,4.999382048336207807e-01,9.998764096672415613e-01,1.139783265283876119e+02,1.139783265283876119e+02,1.199989264416672370e+02,-6.080463711665053665e-05
4.315190768277649909e+02,4.999393271901864666e-01,4.999393271901864666e-01,9.998786543803729332e-01,1.139783460281062446e+02,1.139783460281062446e+02,1.199989459413858697e+02,-6.150887540701675447e-05
4.365158322401661053e+02,4.999404756950232565e-01,4.999404756950232565e-01,9.998809513900465129e-01,1.139783659820771788e+02,1.139783659820771788e+02,1.199989658953568039e+02,-6.222127379719909147e-05
4.415704473533125451e+02,4.999416509574490797e-01,4.999416509574490797e-01,9.998833019148981593e-01,1.139783864008834513e+02,1.139783864008834513e+02,1.199989863141630764e+02,-6.294192696695120209e-05
4.466835921509630225e+02,4.999428536009865032e-01,4.999428536009865032e-01,9.998857072019730063e-01,1.139784072953547565e+02,1.139784072953547565e+02,1.199990072086343815e+02,-6.367093069823694888e-05
4.518559443749226148e+02,4.999440842636933557e-01,4.999440842636933557e-01,9.998881685273867115e-01,1.139784286765730599e+02,1.139784286765730599e+02,1.199990285898526849e+02,-6.440838188982264570e-05
